id,title,venue,year,url
siggraph-asia-2023-ai-nushu,AI Nüshu: An Exploration of Language Emergence in Sisterhood Through the Lens of Computational Linguistics,SIGGRAPH Asia 2023,2023,https://doi.org/10.1145/3610591.3616427
cgi-2025-hyborg-agency,Hyborg Agency: Fostering AI Agents through Community Conversations in a Digital Forest,PACM CGIT 2025,2025,https://doi.org/10.1145/3736778
chi-2025-i-like-your-story,I Like Your Story!: A Co-Creative Story-Crafting Game with a Persona-Driven Character Based on Generative AI,CHI EA '25,2025,https://doi.org/10.1145/3706599.3721163
